0,1,2,3,4
"Best Scoring Average, Career (Min. 15 rounds)","Best Scoring Average, Career (Min. 15 rounds)","Best Scoring Average, Career (Min. 15 rounds)","Best Scoring Average, Career (Min. 15 rounds)","Best Scoring Average, Career (Min. 15 rounds)"
Average,Player,Years,Rounds,Strokes
75.83,Vidushi Sinha,2015-19,59,4474
76.14,Nina Kouchi,2018-21,37,2817
76.37,Vrishali Sinha,2015-19,59,4506
81.22,Hilary Minnick,1998-02,27,2193
82.23,Danielle Oberlander,2017-21,47,3865
83.87,Aubrie Torhorst,2019-21,15,1258
85.43,Mallory Messin,2009-13,49,4186
86.17,Zoe Robinson,2019-21,18,1551
86.87,Sam Nakahira,2015-18,23,1998
88.17,Julia Echikson,2016-20,53,4673
88.50,Lexi Mueldener,2019-21,16,1416
89.05,Kayleigh Kresse,2011-15,44,3918
89.86,Hailey Speck,2011-15,51,4583
90.00,Stephanie Spahr,2010-14,51,4590
90.07,Alex Plemmons,2011-15,54,4864
90.41,Anisha Agarwalla,2015-18,17,1537
90.78,Samanike Hengst,2014-18,41,3722
90.96,Natalie Klee,2009-13,47,4275
91.02,Elizabeth Burnett,2009-13,44,4005
91.19,Lauren Yi,2014-18,42,3830
92.67,Ashley Pausig,1999-03,22.5,2085
94.80,Haddie Dowson,2004-07,15,1422
95.84,Amy Livingston,2005-09,37,3546
96.63,Stephanie Goggin,2006-10,28.5,2754
100.17,Caitlin Campbell,2004-07,23,2304
