Unnamed: 0,Athlete,Year,Time,Meet,Meet Date
,"Dalton, Adam",SR-4,15:01.42,2016 Kip Janvrin Open,"Apr 28, 2016"
,"McLean, Anthony",SR-4,15:26.17,2016 Kip Janvrin Open,"Apr 28, 2016"
,"Lennon, John",SO-2,15:53.95,16 Midwest Conference Championships,"May 13, 2016"
,"Bass, Stewart",SO-2,16:48.25,2016 Kip Janvrin Open,"Apr 28, 2016"
,"Malone, Ian",SR-4,16:56.86,2016 Kip Janvrin Open,"Apr 28, 2016"
,"Kane, Phillip",JR-3,17:51.26,2016 Cornell Outdoor Invite,"Apr 9, 2016"
,"Monovich, Alexander",JR-3,17:58.71,Grinnell College Dick Young Classic,"Apr 23, 2016"
